business_description,domain_name,score
Handmade Crafts,handmadecrafts.org,1.0
Online Bookstore,onlinebookstore.org,1.0
Travel Agency,travelagency.org,1.0
Yoga Studio,yogastudio.net,1.0
Yoga Studio,yogastudio.com,1.0
Handmade Crafts,handmadecrafts.net,1.0
Digital Marketing Agency,digitalmarketingagency.net,0.5
Tech Startup,techstartup.com,1.0
Handmade Crafts,handmadecrafts.org,1.0
Yoga Studio,yogastudio.com,1.0
Digital Marketing Agency,digitalmarketingagency.net,0.5
Online Bookstore,onlinebookstore.org,1.0
Tech Startup,techstartup.net,1.0
Handmade Crafts,handmadecrafts.net,1.0
Organic Grocery,organicgrocery.com,1.0
Tech Startup,techstartup.net,1.0
Online Bookstore,onlinebookstore.com,1.0
Travel Agency,travelagency.net,1.0
Digital Marketing Agency,digitalmarketingagency.com,0.5
Travel Agency,travelagency.com,1.0
Travel Agency,travelagency.com,1.0
Pet Grooming,petgrooming.net,1.0
Yoga Studio,yogastudio.com,1.0
Pet Grooming,petgrooming.org,1.0
Pet Grooming,petgrooming.com,1.0
Online Bookstore,onlinebookstore.com,1.0
Online Bookstore,onlinebookstore.net,1.0
Online Bookstore,onlinebookstore.net,1.0
Travel Agency,travelagency.net,1.0
Handmade Crafts,handmadecrafts.net,1.0
Handmade Crafts,handmadecrafts.net,1.0
Fitness Trainer,fitnesstrainer.org,1.0
Yoga Studio,yogastudio.org,1.0
Online Bookstore,onlinebookstore.net,1.0
Fitness Trainer,fitnesstrainer.com,1.0
Organic Grocery,organicgrocery.org,1.0
Coffee Shop,coffeeshop.org,1.0
Organic Grocery,organicgrocery.net,1.0
Organic Grocery,organicgrocery.org,1.0
Digital Marketing Agency,digitalmarketingagency.com,0.5
Yoga Studio,yogastudio.com,1.0
Organic Grocery,organicgrocery.org,1.0
Organic Grocery,organicgrocery.org,1.0
Yoga Studio,yogastudio.com,1.0
Handmade Crafts,handmadecrafts.com,1.0
Tech Startup,techstartup.com,1.0
Organic Grocery,organicgrocery.com,1.0
Yoga Studio,yogastudio.com,1.0
Coffee Shop,coffeeshop.net,1.0
Handmade Crafts,handmadecrafts.org,1.0
